0,1,2
208,59,1
204,47,1
210,39,1
205,34,1
197,37,1
200,26,1
192,26,1
190,37,1
189,58,1
184,50,1
180,31,1
171,23,1
168,44,1
160,33,1
160,18,1
158,44,1
169,59,1
184,67,1
197,68,1
220,51,1
208,72,1
220,64,1
223,38,1
217,26,1
207,19,1
197,13,1
184,18,1
174,11,1
153,58,1
159,72,1
170,77,1
185,83,1
146,68,1
58,27,0
40,34,0
37,51,0
49,42,0
62,42,0
70,32,0
68,18,0
53,18,0
45,20,0
33,22,0
32,35,0
31,45,0
36,64,0
49,54,0
66,52,0
77,43,0
57,64,0
46,69,0
28,56,0
71,64,0
80,30,0
144,47,1
132,72,1
143,95,1
166,90,1
151,84,1
141,83,1
138,59,1
151,30,1
159,103,1
177,99,1
192,95,1
199,85,1
148,108,1
135,99,1
131,86,1
123,69,1
123,82,1
118,96,1
133,101,1
116,118,1
131,122,1
126,109,1
106,107,1
107,85,1
103,99,1
97,107,1
96,116,1
99,123,1
105,129,1
111,134,1
120,134,1
126,135,1
139,134,1
146,125,1
140,113,1
162,115,1
180,108,1
93,143,1
103,147,1
118,147,1
134,147,1
155,142,1
160,132,1
175,118,1
86,133,1
89,118,1
91,104,1
96,93,1
100,80,1
113,64,1
123,59,1
136,49,1
202,135,0
216,132,0
227,107,0
239,137,0
235,118,0
244,89,0
242,88,0
227,91,0
223,104,0
218,110,0
226,121,0
229,132,0
221,142,0
212,117,0
205,123,0
210,145,0
221,151,0
232,153,0
247,153,0
249,134,0
246,123,0
249,110,0
240,101,0
236,77,0
249,75,0
200,147,0
211,155,0
219,164,0
232,164,0
203,159,0
195,136,0
195,156,0
210,168,0
219,179,0
234,178,0
244,166,0
204,182,0
196,171,0
182,188,0
193,207,0
205,202,0
228,201,0
215,216,0
122,205,0
138,222,0
151,208,0
190,204,0
174,222,0
168,197,0
149,240,0
109,238,0
111,222,0
126,235,0
84,245,0
74,239,0
49,235,0
66,180,1
80,150,1
55,153,1
66,127,1
86,91,1
71,95,1
82,116,1
87,164,1
111,169,1
86,182,1
29,218,0
36,203,0
26,199,0
24,170,0
17,154,0
32,104,0
16,113,0
22,69,0
34,84,0
110,23,0
24,130,0
11,134,0
8,175,0
12,191,0
9,209,0
8,230,0
22,239,0
38,226,0
63,216,0
77,222,0
90,212,0
90,240,0
96,228,0
104,209,0
141,200,0
156,188,0
168,214,0
190,218,0
205,224,0
155,227,0
166,240,0
183,235,0
134,244,0
124,219,0
56,245,0
64,229,0
48,216,0
37,245,0
9,248,0
18,218,0
30,183,0
6,149,0
52,134,1
70,158,1
66,108,1
69,141,1
97,177,1
122,162,1
100,161,1
77,171,1
61,167,1
75,186,1
141,156,1
58,118,1
18,88,0
13,63,0
8,85,0
8,100,0
5,118,0
19,45,0
22,28,0
46,84,0
40,96,0
23,99,0
6,69,0
11,51,0
30,115,0
22,144,0
8,160,0
69,249,0
104,248,0
122,247,0
143,232,0
136,205,0
179,205,0
217,195,0
198,188,0
96,17,0
128,13,0
112,9,0
82,9,0
246,50,0
244,63,0
